game,developer,platform,release date,patch status,40hz,60hz,120hz,modes
The Division,Ubisoft,PS4,2016,Backwards-compatible,false,true,false,[]
Avowed,Obsidian,PS5,2026,Native;Pro Enhanced,1440p,1080p,Uncapped,[Quality;Balanced;Performance]
Abiotic Factor,Deep Field,PS5,2025,Native,false,true,true,[]
Sea of Thieves,Rare,PS5,2024,Native,false,2160p,1080p,[Quality;Performance]
A Hat in Time,Gears for Breakfast,PS4,2017,Backwards-compatible,false,true,false,[]
A Way Out,Hazelight Studios,2018,PS4,Backwards-compatible,false,true,false,[]
Assassin's Creed Odyssey,Ubisoft,2018,PS4,Backwards-Compatible,false,true,false,[]
Assassin's Creed Origins,Ubisoft,2017,PS4,Backwards-Compatible,false,true,false,[]
Assassin's Creed Syndicate,Ubisoft,2015,PS4,Backwards-Compatible,false,true,false,[]
Assassin's Creed Unity,Ubisoft,2014,PS4,Backwards-compatible,false,false,false,[]
